Identifier,Strain,Country,154,424,577,580,802,960,1644,1955,2059,2163b,2165,2347,2401,2461,2531,2687,2996,3007,3171,3192,3690,4052,4156,4348,INH,SM,EMB,RMP,PZA
1473/02,M. africanum,West African 1,2,3,4,2,1,3,5,2,2,5,4,3,4,2,4,2,4,4,3,2,3,3,3,2,s,s,s,s,s
1479/00,M. microti,vole,2,3,5,4,2,5,6,3,1,6,8,3,4,3,4,2,2,1,3,1,3,9,3,2,?,?,?,?,?
1521/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,4,3,4,3,6,2,2,s,s,s,s,s
1571/99,M. tuberculosis,UgandaI,2,1,5,2,3,3,2,3,2,2,4,4,2,2,5,1,5,3,3,4,2,7,2,2,s,s,s,s,s
1601/01,M. bovis,Bovis,2,2,3,3,2,2,3,3,2,2,2,3,4,4,4,2,5,3,3,3,2,5,1,2,s,s,s,s,r
1647/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,3,3,3,3,7,2,2,s,s,s,s,s
1657/03,M. tuberculosis,URAL,2,4,4,2,2,9,2,3,2,2,4,4,4,2,5,1,1,3,3,3,3,8,3,2,s,s,s,s,s
1694/00,M. caprae,Caprae,2,2,5,2,2,5,5,3,2,3,7,3,4,3,4,2,5,3,2,5,1,3,3,2,s,s,s,s,s
1696/00,M. caprae,Caprae,1,2,5,3,2,6,3,3,2,5,6,3,4,3,4,2,4,3,2,5,1,3,3,2,s,s,s,s,s
1797/03,M. tuberculosis,EAI,2,2,4,5,3,4,3,6,2,3,6,3,1,1,6,2,2,3,3,6,6,6,1,4,s,s,s,s,s
1805/02,M. tuberculosis,Delhi/CAS,2,4,2,2,3,4,4,2,2,2,4,4,2,2,5,1,3,3,3,5,3,5,4,3,s,s,s,s,s
1850/03,M. tuberculosis,LAM,2,4,4,2,1,4,2,3,2,2,2,4,1,1,6,1,4,3,5,3,3,3,2,2,s,s,s,s,s
1897/04,M. tuberculosis,S,3,3,5,3,4,3,3,1,2,3,3,4,2,2,5,1,5,4,2,3,3,2,2,2,?,?,?,?,?
2111/99,M. tuberculosis,UgandaI,2,1,5,2,3,3,2,3,2,3,4,4,2,2,5,1,5,3,3,4,2,4,2,2,s,s,s,s,s
2151/03,M. tuberculosis,S,2,3,4,3,4,3,3,1,2,2,4,4,2,2,5,1,5,3,3,3,7,7,2,2,s,s,s,s,s
2169/99,M. tuberculosis,UgandaI,2,1,4,2,2,3,2,3,2,3,4,4,2,2,5,1,4,3,3,2,2,7,2,2,s,s,s,r,s
2173/99,M. tuberculosis,UgandaI,2,1,5,2,2,3,2,3,2,2,4,4,2,2,5,1,4,3,3,4,2,3,2,2,s,s,s,s,s
2176/99,M. tuberculosis,UgandaII,2,2,5,2,1,3,3,3,1,2,4,4,2,1,5,1,4,3,3,3,3,6,2,2,s,s,s,s,s
2191/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,3,3,4,4,7,2,2,s,s,s,s,s
2197/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,3,4,2,1,5,1,4,3,3,4,3,3,2,2,s,s,s,s,s
2201/99,M. tuberculosis,UgandaI,2,3,5,2,2,3,3,3,2,2,4,4,2,2,5,1,5,3,2,4,2,6,2,2,r,r,s,r,s
2211/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,3,3,4,3,7,2,2,s,s,s,s,s
2224/99,M. tuberculosis,UgandaI,2,3,5,2,2,3,3,2,2,3,4,4,2,2,5,1,5,3,4,5,3,6,2,2,s,r,s,s,s
2253/99,M. tuberculosis,UgandaII,2,2,5,2,4,3,3,3,1,2,4,4,2,1,5,1,4,3,3,4,3,5,2,2,s,s,s,s,s
2258/03,M. tuberculosis,TUR,2,4,4,1,2,5,1,3,2,2,3,4,4,2,5,1,1,3,3,3,3,7,3,2,s,s,s,s,s
2263/99,M. tuberculosis,UgandaI,2,1,5,2,3,3,2,3,2,3,4,4,2,2,5,1,4,3,3,4,2,4,2,2,s,s,s,s,s
2307/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,4,3,4,3,6,2,2,s,s,s,s,s
2318/06,M. tuberculosis,S,3,4,4,3,5,2,3,1,2,5,3,2,2,2,5,1,5,3,3,3,3,8,2,2,s,s,s,s,s
2319/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,4,4,2,1,5,1,4,3,3,4,3,7,2,2,r,s,r,r,s
2329/99,M. tuberculosis,UgandaI,2,2,5,2,3,3,3,2,2,3,4,4,2,2,5,1,3,3,3,2,3,7,2,2,s,s,s,s,s
2331/99,M. tuberculosis,UgandaI,2,1,5,2,2,3,2,3,2,3,4,4,2,2,5,1,5,3,3,4,2,4,2,2,s,s,s,s,s
2333/99,M. tuberculosis,UgandaI,2,1,5,2,2,3,2,3,2,3,4,4,2,2,5,1,5,3,3,4,2,4,2,2,s,s,s,s,s
2336/02,M. tuberculosis,Haarlem,2,1,3,2,3,5,3,3,2,3,3,4,4,2,5,1,5,3,3,3,3,5,3,2,s,s,s,s,s
2379/99,M. tuberculosis,UgandaII,2,2,5,2,3,3,3,3,1,2,3,4,2,1,5,1,4,3,3,4,3,7,2,2,s,r,s,s,s
2569/02,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,6,4,3,4,2,4,2,4,3,3,2,3,2,3,2,s,s,s,s,s
2570/02,M. tuberculosis,Ghana,2,3,3,2,5,3,3,4,2,3,3,4,4,2,5,1,4,3,2,3,3,6,1,3,s,s,s,s,s
2577/02,M. africanum,West African 1,2,2,4,3,1,4,4,2,2,3,4,3,4,2,4,2,4,4,3,2,5,3,3,2,s,s,s,s,s
2582/02,M. tuberculosis,Ghana,2,2,3,2,5,3,3,4,2,4,3,4,4,2,5,1,4,3,2,3,3,6,1,3,s,r,s,s,s
